inspectionObjectCode,inspectionStandardCode,role
OBJ-SP05-P12-灯具,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P12-灯具,GB/T 50081-2019,TESTING
OBJ-SP05-P12-灯具,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P12-设备,GB/T 50081-2019,TESTING
OBJ-SP05-P12-设备,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P12-设备,GB/T 50081-2019,TESTING
OBJ-SP05-P12-设备,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能集热器,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能集热器,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能集热器,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能集热器,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能热利用系统的太阳能集热系统,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能热利用系统的太阳能集热系统,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能热利用系统的太阳能集热系统,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能热利用系统的太阳能集热系统,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能光伏组件,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能光伏组件,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能光伏组件,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能光伏组件,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能光伏发电系统,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能光伏发电系统,GB/T 50081-2019,JUDGMENT
OBJ-SP05-P13-太阳能光伏发电系统,GB/T 50081-2019,TESTING
OBJ-SP05-P13-太阳能光伏发电系统,GB/T 50081-2019,JUDGMENT
OBJ-SP07-P8,GB/T 50081-2019,TESTING
OBJ-SP07-P8,GB/T 50081-2019,JUDGMENT
OBJ-SP07-P8,GB/T 50081-2019,TESTING
OBJ-SP07-P8,GB/T 50081-2019,JUDGMENT
OBJ-SP07-P9,GB 175-2023,TESTING
OBJ-SP07-P9,GB 175-2023,JUDGMENT
OBJ-SP07-P9,GB 175-2023,TESTING
OBJ-SP07-P9,GB 175-2023,JUDGMENT
OBJ-SP07-P11,GB 1499.2-2024,TESTING
OBJ-SP07-P11,GB 1499.2-2024,JUDGMENT
OBJ-SP07-P11,GB/T 228.1-2021,TESTING
OBJ-SP07-P11,GB/T 228.1-2021,JUDGMENT
OBJ-SP07-P14,GB/T 50081-2019,TESTING
OBJ-SP07-P14,GB/T 50081-2019,JUDGMENT
OBJ-SP07-P14,GB/T 50081-2019,TESTING
OBJ-SP07-P14,GB/T 50081-2019,JUDGMENT
OBJ-SP08-P5,GB/T 50081-2019,TESTING
OBJ-SP08-P5,GB/T 50081-2019,JUDGMENT
OBJ-SP08-P5,GB/T 50081-2019,TESTING
OBJ-SP08-P5,GB/T 50081-2019,JUDGMENT
