standard_code,file_stem,pdf_path,docx_path,pdf_present,docx_present,verification_status,coverage_status
JC_474-2008,JC_474-2008,raw/standards/pdf/JC_474-2008.pdf,raw/standards/docx/JC_474-2008.docx,true,true,candidate,unmapped
JGJT_27-2014,JGJT_27-2014,raw/standards/pdf/JGJT_27-2014.pdf,raw/standards/docx/JGJT_27-2014.docx,true,true,candidate,unmapped
JGJT_70-2009,JGJT_70-2009,raw/standards/pdf/JGJT_70-2009.pdf,raw/standards/docx/JGJT_70-2009.docx,true,true,candidate,unmapped
JGJ_107-2016,JGJ_107-2016,raw/standards/pdf/JGJ_107-2016.pdf,raw/standards/docx/JGJ_107-2016.docx,true,true,candidate,unmapped
JGJ_52-2006,JGJ_52-2006,raw/standards/pdf/JGJ_52-2006.pdf,raw/standards/docx/JGJ_52-2006.docx,true,true,candidate,unmapped
JGJ_63-2006,JGJ_63-2006,raw/standards/pdf/JGJ_63-2006.pdf,raw/standards/docx/JGJ_63-2006.docx,true,true,candidate,unmapped
JGT_376-2012,JGT_376-2012,raw/standards/pdf/JGT_376-2012.pdf,raw/standards/docx/JGT_376-2012.docx,true,true,candidate,unmapped
JTT828-2019,JTT828-2019,raw/standards/pdf/JTT828-2019.pdf,,true,false,candidate,unmapped
NYT_671-2003,NYT_671-2003,raw/standards/pdf/NYT_671-2003.pdf,raw/standards/docx/NYT_671-2003.docx,true,true,candidate,unmapped
TCECS1200-2022,TCECS1200-2022,raw/standards/pdf/TCECS1200-2022.pdf,,true,false,candidate,unmapped
YBT_081-2013,YBT_081-2013,raw/standards/pdf/YBT_081-2013.pdf,raw/standards/docx/YBT_081-2013.docx,true,true,candidate,unmapped
